code,eta,d,p,pl,sigma,errors,shots
css,0.5,5,0.0041,0.01948333333333333,0.00025235186430689477,5845,300000
css,0.5,5,0.004300000000000001,0.02152,0.00026493761875339555,6456,300000
css,0.5,5,0.004200000000000001,0.020693333333333334,0.0002599090707442811,6208,300000
css,0.5,5,0.004,0.018126666666666666,0.00024357617081490618,5438,300000
css,0.5,5,0.004400000000000001,0.023243333333333335,0.0002750985445469298,6973,300000
css,0.5,5,0.004500000000000001,0.024636666666666668,0.0002830216390595844,7391,300000
css,0.5,5,0.004600000000000002,0.026413333333333334,0.00029278166521827867,7924,300000
css,0.5,5,0.004700000000000002,0.02824,0.00030245193986635707,8472,300000
css,0.5,5,0.004800000000000002,0.02984,0.00031064564341373724,8952,300000
css,0.5,5,0.0049000000000000024,0.03129666666666667,0.0003178983932875506,9389,300000
css,0.5,5,0.005000000000000003,0.03305,0.00032638585435813133,9915,300000
css,0.5,5,0.005100000000000003,0.03426,0.000332098705978931,10278,300000
css,0.5,5,0.005200000000000003,0.03581,0.00033925529740219673,10743,300000
css,0.5,5,0.0053000000000000035,0.03766666666666667,0.0003476036083686976,11300,300000
css,0.5,5,0.005400000000000004,0.039613333333333334,0.0003561118590983889,11884,300000
css,0.5,5,0.005500000000000004,0.04188,0.000365725905663479,12564,300000
css,0.5,5,0.005600000000000004,0.04371333333333333,0.00037328734449575823,13114,300000
css,0.5,5,0.0057000000000000045,0.04534,0.000379845710639308,13602,300000
css,0.5,5,0.005800000000000005,0.047196666666666665,0.00038716781399122935,14159,300000
css,0.5,5,0.005900000000000005,0.04972666666666667,0.00039688135755358567,14918,300000
css,0.5,5,0.006000000000000005,0.05159,0.00040385219672382094,15477,300000
css,0.5,5,0.006100000000000006,0.05332666666666667,0.00041021713788944036,15998,300000
css,0.5,5,0.006200000000000006,0.05596333333333333,0.0004196503297409365,16789,300000
css,0.5,5,0.006300000000000006,0.05742333333333333,0.00042476019357008676,17227,300000
css,0.5,5,0.006400000000000006,0.06041333333333333,0.00043498665648043777,18124,300000
css,0.5,5,0.006500000000000007,0.06174333333333333,0.00043943729641681556,18523,300000
css,0.5,5,0.006600000000000007,0.06459,0.00044877077460639403,19377,300000
css,0.5,5,0.006700000000000007,0.06655666666666667,0.00045507250682193245,19967,300000
css,0.5,5,0.006800000000000007,0.07018333333333333,0.00046639765341970063,21055,300000
css,0.5,5,0.006900000000000008,0.07180666666666667,0.00047134862639885977,21542,300000
css,0.5,5,0.007000000000000008,0.07467666666666667,0.00047993206041835323,22403,300000
css,0.5,5,0.007100000000000008,0.07647333333333334,0.0004851993580578945,22942,300000
css,0.5,5,0.0072000000000000085,0.08024,0.000495990200575086,24072,300000
css,0.5,5,0.007300000000000009,0.08155666666666667,0.000499684936572764,24467,300000
css,0.5,5,0.007400000000000009,0.08450333333333333,0.0005078150502204198,25351,300000
css,0.5,5,0.007500000000000009,0.08703666666666666,0.0005146571315311071,26111,300000
css,0.5,5,0.0076000000000000095,0.09008666666666666,0.0005227215511542649,27026,300000
css,0.5,5,0.00770000000000001,0.09252666666666666,0.0005290423933325683,27758,300000
css,0.5,5,0.00780000000000001,0.09512666666666666,0.0005356548746958956,28538,300000
css,0.5,5,0.007900000000000011,0.09761,0.0005418564816611487,29283,300000
css,0.5,5,0.00800000000000001,0.09983666666666667,0.0005473254390141735,29951,300000
css,0.5,5,0.00810000000000001,0.10320211344296762,0.0005638702863313555,30041,291089
css,0.5,5,0.008200000000000011,0.10604919811804296,0.0005788910319559221,30001,282897
css,0.5,5,0.008300000000000012,0.10904547581139452,0.0005935958051837137,30067,275729
css,0.5,5,0.008400000000000012,0.11161229296882245,0.0006064707270935915,30089,269585
css,0.5,5,0.008500000000000011,0.11513315199718431,0.0006242988859147119,30095,261393
css,0.5,5,0.008600000000000012,0.11708217408778919,0.0006351180562296221,30005,256273
css,0.5,5,0.008700000000000013,0.12032990976656045,0.0006505265094178397,30098,250129
css,0.5,5,0.008800000000000013,0.12320429534602537,0.0006653970138598281,30060,243985
css,0.5,5,0.008900000000000012,0.12732778326752703,0.0006864705966987406,30023,235793
css,0.5,5,0.009000000000000013,0.1291460590148719,0.0006951774249369103,30055,232721
css,0.5,5,0.009100000000000014,0.1316960087479497,0.000707229752705596,30109,228625
css,0.5,5,0.009200000000000014,0.13519356709112237,0.0007249217668570673,30078,222481
css,0.5,5,0.009300000000000013,0.13871853736410855,0.0007413940241179917,30152,217361
css,0.5,5,0.009400000000000014,0.1398800815556887,0.0007475192714111178,30118,215313
css,0.5,5,0.009500000000000015,0.14541741300978656,0.0007745922937498761,30119,207121
css,0.5,5,0.009600000000000015,0.14853886861946228,0.0007912717937189062,30005,202001
css,0.5,5,0.009700000000000014,0.14992262796240366,0.0007963236243839211,30131,200977
